lastTicketingDate,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Base Price,Grand Total Price,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,First flight departure,Second flight departure,Third flight departure,First flight arrival,Second flight arrival,Third flight arrival,Meal Option,Flight depature date
2024-05-19,9,FI,26.583333333333332,1,226.0,431.17,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,3.25, KEF,6.166666666666667,,,,17:00:00,,23:50:00,19:10:00,,ALCOHOLIC DRINK,2024-06-17
2024-05-19,9,TP,13.333333333333334,1,267.0,434.28,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,3.8333333333333335, LIS,8.0,,,,17:05:00,,15:35:00,20:05:00,,MEAL 1,2024-06-17
2024-05-19,9,TP,20.083333333333332,1,267.0,434.28,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,3.9166666666666665, LIS,8.0,,,,17:05:00,,08:55:00,20:05:00,,MEAL 1,2024-06-17
2024-05-19,9,TP,32.416666666666664,1,267.0,439.66,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,3.9166666666666665, LIS,8.0,,,,17:05:00,,20:35:00,20:05:00,,MEAL 1,2024-06-17
2024-05-19,1,S4,19.583333333333332,2,191.0,448.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,,12:35:00,17:30:00,08:55:00,14:05:00,19:35:00,MEAL,2024-06-17
2024-05-19,1,S4,19.583333333333332,2,191.0,448.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,,14:10:00,17:30:00,08:55:00,15:40:00,19:35:00,MEAL,2024-06-17
2024-05-19,1,S4,31.916666666666668,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,,06:00:00,17:30:00,20:35:00,07:30:00,19:35:00,MEAL,2024-06-17
2024-05-19,1,S4,31.916666666666668,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,,12:35:00,17:30:00,20:35:00,14:05:00,19:35:00,MEAL,2024-06-17
2024-05-19,1,S4,31.916666666666668,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,,14:10:00,17:30:00,20:35:00,15:40:00,19:35:00,MEAL,2024-06-17
2024-05-19,1,S4,36.833333333333336,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,,06:00:00,17:30:00,15:35:00,07:30:00,19:35:00,MEAL,2024-06-17
2024-05-19,1,S4,36.833333333333336,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,,12:35:00,17:30:00,15:35:00,14:05:00,19:35:00,MEAL,2024-06-17
2024-05-19,1,S4,36.833333333333336,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,,14:10:00,17:30:00,15:35:00,15:40:00,19:35:00,MEAL,2024-06-17
2024-05-20,1,AY,13.083333333333334,1,251.0,465.92,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0833333333333335, LGW,8.0,,,,15:05:00,,12:05:00,18:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,1,AY,26.75,1,251.0,465.92,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LGW,8.0,,,,15:05:00,,22:20:00,18:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,1,AY,31.5,1,251.0,465.92,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LGW,8.0,,,,15:05:00,,17:35:00,18:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,9,AY,29.833333333333332,1,251.0,465.92,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LGW,8.0,,,,15:05:00,,19:15:00,18:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,9,AY,11.833333333333334,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,,,,17:20:00,,15:45:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,9,AY,12.666666666666666,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,,,,17:20:00,,14:55:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,9,AY,16.5,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,,,,17:20:00,,11:05:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,9,AY,18.333333333333332,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,,,,17:20:00,,09:15:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,9,AY,29.833333333333332,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5833333333333335, HEL,8.75,,,,17:20:00,,21:50:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,9,AY,32.083333333333336,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,,,,17:20:00,,19:30:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,1,AY,11.166666666666666,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0833333333333335, LHR,7.833333333333333,,,,13:20:00,,12:05:00,16:10:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,1,AY,11.333333333333334,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.916666666666667,,,,16:20:00,,14:55:00,19:15:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,1,AY,13.166666666666666,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,8.0,,,,18:05:00,,14:55:00,21:05:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,1,AY,14.25,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0833333333333335, LHR,7.916666666666667,,,,16:20:00,,12:05:00,19:15:00,,MEAL AND BEVERAGE,2024-06-17
2024-05-20,1,AY,16.083333333333332,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0833333333333335, LHR,8.0,,,,18:05:00,,12:05:00,21:05:00,,MEAL AND BEVERAGE,2024-06-17
