Currency,Total Price,Base Price,Fee Amount,Grand Total Price,Additional fees,Fee Type
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1205.46,1001.00,"['0.00', '0.00']",1205.46,[],[]
EUR,1212.85,988.00,"['0.00', '0.00']",1212.85,[],[]
EUR,1213.21,988.00,"['0.00', '0.00']",1213.21,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
