Duration,Departure IATACodes,Departure Terminals,Number of Stops,layover durations,Arrival Terminals,Departure Times,Arrival Times,Airline,Blacklist
PT12H45M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H', 'CDG': 'PT8H20M'}","2F, 1","2024-06-20T12:05:00, 2024-06-20T16:30:00","2024-06-20T14:05:00, 2024-06-20T18:50:00","AF, AF","False, False"
PT14H35M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H', 'CDG': 'PT8H10M'}","2F, 1","2024-06-20T12:05:00, 2024-06-20T18:30:00","2024-06-20T14:05:00, 2024-06-20T20:40:00","AF, AF","False, False"
PT15H5M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H', 'CDG': 'PT8H20M'}","2F, 1","2024-06-20T09:45:00, 2024-06-20T16:30:00","2024-06-20T11:45:00, 2024-06-20T18:50:00","AF, AF","False, False"
PT16H20M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H', 'CDG': 'PT7H55M'}","2F, 1","2024-06-20T12:05:00, 2024-06-20T20:30:00","2024-06-20T14:05:00, 2024-06-20T22:25:00","AF, AF","False, False"
PT16H55M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H', 'CDG': 'PT8H10M'}","2F, 1","2024-06-20T09:45:00, 2024-06-20T18:30:00","2024-06-20T11:45:00, 2024-06-20T20:40:00","AF, AF","False, False"
PT18H30M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H5M', 'CDG': 'PT8H20M'}","2F, 1","2024-06-20T06:20:00, 2024-06-20T16:30:00","2024-06-20T08:25:00, 2024-06-20T18:50:00","AF, AF","False, False"
PT18H40M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H', 'CDG': 'PT7H55M'}","2F, 1","2024-06-20T09:45:00, 2024-06-20T20:30:00","2024-06-20T11:45:00, 2024-06-20T22:25:00","AF, AF","False, False"
PT20H20M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H5M', 'CDG': 'PT8H10M'}","2F, 1","2024-06-20T06:20:00, 2024-06-20T18:30:00","2024-06-20T08:25:00, 2024-06-20T20:40:00","AF, AF","False, False"
PT22H5M,"CPH, CDG","2, 2E",1,"{'CPH': 'PT2H5M', 'CDG': 'PT7H55M'}","2F, 1","2024-06-20T06:20:00, 2024-06-20T20:30:00","2024-06-20T08:25:00, 2024-06-20T22:25:00","AF, AF","False, False"
PT12H5M,"CPH, CDG","2, ",1,"{'CPH': 'PT2H', 'CDG': 'PT8H20M'}","2F, ","2024-06-20T09:45:00, 2024-06-20T13:30:00","2024-06-20T11:45:00, 2024-06-20T15:50:00","AF, AF","False, False"
PT9H,CPH,3,0,{'CPH': 'PT9H'},1,2024-06-20T12:40:00,2024-06-20T15:40:00,SK,False
PT9H,CPH,3,0,{'CPH': 'PT9H'},1,2024-06-20T14:40:00,2024-06-20T17:40:00,SK,False
PT13H30M,"CPH, LIS","3, 1",1,"{'CPH': 'PT3H50M', 'LIS': 'PT8H'}","1, 1","2024-06-21T12:35:00, 2024-06-21T17:05:00","2024-06-21T15:25:00, 2024-06-21T20:05:00","TP, TP","False, False"
PT11H50M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-21T13:15:00, 2024-06-21T17:20:00","2024-06-21T15:45:00, 2024-06-21T19:05:00","AY, AY","False, False"
PT12H40M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-21T12:25:00, 2024-06-21T17:20:00","2024-06-21T14:55:00, 2024-06-21T19:05:00","AY, AY","False, False"
PT16H20M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-21T08:45:00, 2024-06-21T17:20:00","2024-06-21T11:15:00, 2024-06-21T19:05:00","AY, AY","False, False"
PT17H35M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-21T07:30:00, 2024-06-21T17:20:00","2024-06-21T10:00:00, 2024-06-21T19:05:00","AY, AY","False, False"
PT18H20M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-21T06:45:00, 2024-06-21T17:20:00","2024-06-21T09:15:00, 2024-06-21T19:05:00","AY, AY","False, False"
PT29H50M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H35M', 'HEL': 'PT8H45M'}",", 8","2024-06-21T19:15:00, 2024-06-22T17:20:00","2024-06-21T21:50:00, 2024-06-22T19:05:00","AY, AY","False, False"
PT32H5M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-21T17:00:00, 2024-06-22T17:20:00","2024-06-21T19:30:00, 2024-06-22T19:05:00","AY, AY","False, False"
PT11H35M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H50M'}","5, 8","2024-06-21T16:20:00, 2024-06-21T19:05:00","2024-06-21T17:20:00, 2024-06-21T21:55:00","AY, AY","False, False"
PT12H35M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT8H'}","5, 8","2024-06-21T14:30:00, 2024-06-21T18:05:00","2024-06-21T15:30:00, 2024-06-21T21:05:00","AY, AY","False, False"
PT13H25M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H50M'}","5, 8","2024-06-21T14:30:00, 2024-06-21T19:05:00","2024-06-21T15:30:00, 2024-06-21T21:55:00","AY, AY","False, False"
PT11H50M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-21T13:15:00, 2024-06-21T17:20:00","2024-06-21T15:45:00, 2024-06-21T19:05:00","AY, IB","False, False"
PT24H50M,"CPH, MAD","2, 4S",1,"{'CPH': 'PT3H10M', 'MAD': 'PT8H15M'}","4, 8","2024-06-21T19:50:00, 2024-06-22T12:25:00","2024-06-21T23:00:00, 2024-06-22T14:40:00","IB, IB","False, False"
PT29H5M,"CPH, MAD","2, 4S",1,"{'CPH': 'PT3H10M', 'MAD': 'PT8H35M'}","4, 8","2024-06-21T19:50:00, 2024-06-22T16:20:00","2024-06-21T23:00:00, 2024-06-22T18:55:00","IB, IB","False, False"
PT17H50M,"CPH, KEF","3, ",1,"{'CPH': 'PT3H20M', 'KEF': 'PT6H10M'}",", 7","2024-06-21T07:20:00, 2024-06-21T17:00:00","2024-06-21T08:40:00, 2024-06-21T19:10:00","FI, FI","False, False"
PT26H35M,"CPH, KEF","3, ",1,"{'CPH': 'PT3H15M', 'KEF': 'PT6H10M'}",", 7","2024-06-21T22:35:00, 2024-06-22T17:00:00","2024-06-21T23:50:00, 2024-06-22T19:10:00","FI, FI","False, False"
PT32H20M,"CPH, KEF","3, ",1,"{'CPH': 'PT3H15M', 'KEF': 'PT6H10M'}",", 7","2024-06-21T16:50:00, 2024-06-22T17:00:00","2024-06-21T18:05:00, 2024-06-22T19:10:00","FI, FI","False, False"
PT15H40M,"CPH, WAW","2, ",1,"{'CPH': 'PT1H25M', 'WAW': 'PT9H30M'}",", 7","2024-06-21T10:40:00, 2024-06-21T16:50:00","2024-06-21T12:05:00, 2024-06-21T20:20:00","LO, LO","False, False"
PT19H20M,"CPH, WAW","2, ",1,"{'CPH': 'PT1H25M', 'WAW': 'PT9H30M'}",", 7","2024-06-21T07:00:00, 2024-06-21T16:50:00","2024-06-21T08:25:00, 2024-06-21T20:20:00","LO, LO","False, False"
PT11H10M,"CPH, KEF","3, ",1,"{'CPH': 'PT3H20M', 'KEF': 'PT6H10M'}",", 7","2024-06-21T14:00:00, 2024-06-21T17:00:00","2024-06-21T15:20:00, 2024-06-21T19:10:00","FI, FI","False, False"
PT14H10M,"CPH, KEF","3, ",1,"{'CPH': 'PT3H20M', 'KEF': 'PT6H20M'}",", 7","2024-06-21T14:00:00, 2024-06-21T19:50:00","2024-06-21T15:20:00, 2024-06-21T22:10:00","FI, FI","False, False"
PT20H50M,"CPH, KEF","3, ",1,"{'CPH': 'PT3H20M', 'KEF': 'PT6H20M'}",", 7","2024-06-21T07:20:00, 2024-06-21T19:50:00","2024-06-21T08:40:00, 2024-06-21T22:10:00","FI, FI","False, False"
PT29H35M,"CPH, KEF","3, ",1,"{'CPH': 'PT3H15M', 'KEF': 'PT6H20M'}",", 7","2024-06-21T22:35:00, 2024-06-22T19:50:00","2024-06-21T23:50:00, 2024-06-22T22:10:00","FI, FI","False, False"
PT27H5M,"CPH, BEG","2, 2",1,"{'CPH': 'PT2H10M', 'BEG': 'PT10H'}","2, 1","2024-06-21T20:20:00, 2024-06-22T13:25:00","2024-06-21T22:30:00, 2024-06-22T17:25:00","JU, JU","False, False"
PT23H20M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H45M'}","5, 8","2024-06-21T17:45:00, 2024-06-22T08:20:00","2024-06-21T18:45:00, 2024-06-22T11:05:00","AY, AY","False, False"
PT24H45M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H45M'}","5, 8","2024-06-21T16:20:00, 2024-06-22T08:20:00","2024-06-21T17:20:00, 2024-06-22T11:05:00","AY, AY","False, False"
PT24H45M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H45M'}","5, 8","2024-06-21T17:45:00, 2024-06-22T09:45:00","2024-06-21T18:45:00, 2024-06-22T12:30:00","AY, AY","False, False"
PT26H10M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H45M'}","5, 8","2024-06-21T16:20:00, 2024-06-22T09:45:00","2024-06-21T17:20:00, 2024-06-22T12:30:00","AY, AY","False, False"
PT26H35M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H45M'}","5, 8","2024-06-21T14:30:00, 2024-06-22T08:20:00","2024-06-21T15:30:00, 2024-06-22T11:05:00","AY, AY","False, False"
PT14H45M,"CPH, WAW","2, ",1,"{'CPH': 'PT1H25M', 'WAW': 'PT9H20M'}",", 7","2024-06-21T07:00:00, 2024-06-21T12:25:00","2024-06-21T08:25:00, 2024-06-21T15:45:00","LO, LO","False, False"
PT12H25M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H5M', 'LHR': 'PT7H50M'}","5, 8","2024-06-21T11:05:00, 2024-06-21T14:40:00","2024-06-21T12:10:00, 2024-06-21T17:30:00","AY, AY","False, False"
PT14H10M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H5M', 'LHR': 'PT7H55M'}","5, 8","2024-06-21T11:05:00, 2024-06-21T16:20:00","2024-06-21T12:10:00, 2024-06-21T19:15:00","AY, AY","False, False"
PT16H,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H5M', 'LHR': 'PT8H'}","5, 8","2024-06-21T11:05:00, 2024-06-21T18:05:00","2024-06-21T12:10:00, 2024-06-21T21:05:00","AY, AY","False, False"
PT16H50M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H5M', 'LHR': 'PT7H50M'}","5, 8","2024-06-21T11:05:00, 2024-06-21T19:05:00","2024-06-21T12:10:00, 2024-06-21T21:55:00","AY, AY","False, False"
PT26H40M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H45M'}","5, 8","2024-06-21T17:45:00, 2024-06-22T11:40:00","2024-06-21T18:45:00, 2024-06-22T14:25:00","AY, AY","False, False"
PT13H25M,"CPH, WAW","3, ",1,"{'CPH': 'PT1H20M', 'WAW': 'PT9H30M'}",", 7","2024-06-21T12:55:00, 2024-06-21T16:50:00","2024-06-21T14:15:00, 2024-06-21T20:20:00","LO, LO","False, False"
PT30H10M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT8H55M'}","1, 8","2024-06-21T21:30:00, 2024-06-22T18:45:00","2024-06-22T00:30:00, 2024-06-22T21:40:00","IB, IB","False, False"
PT18H10M,"CPH, IST","2, ",1,"{'CPH': 'PT3H25M', 'IST': 'PT10H45M'}",", 1","2024-06-21T10:20:00, 2024-06-21T18:45:00","2024-06-21T14:45:00, 2024-06-21T22:30:00","TK, TK","False, False"
PT17H45M,"CPH, AMS, MAD","2, , 1",2,"{'CPH': 'PT1H25M', 'AMS': 'PT2H40M', 'MAD': 'PT8H15M'}",", 2, 4","2024-06-21T06:00:00, 2024-06-21T11:00:00, 2024-06-21T15:30:00","2024-06-21T07:25:00, 2024-06-21T13:40:00, 2024-06-21T17:45:00","UX, UX, UX","False, False, False"
PT41H45M,"CPH, AMS, MAD","2, , 1",2,"{'CPH': 'PT1H25M', 'AMS': 'PT2H40M', 'MAD': 'PT8H15M'}",", 2, 4","2024-06-21T06:00:00, 2024-06-21T19:00:00, 2024-06-22T15:30:00","2024-06-21T07:25:00, 2024-06-21T21:40:00, 2024-06-22T17:45:00","UX, UX, UX","False, False, False"
PT17H45M,"CPH, AMS, MAD","2, , 1",2,"{'CPH': 'PT1H25M', 'AMS': 'PT2H35M', 'MAD': 'PT8H15M'}",", 2, 4","2024-06-21T06:00:00, 2024-06-21T09:30:00, 2024-06-21T15:30:00","2024-06-21T07:25:00, 2024-06-21T12:05:00, 2024-06-21T17:45:00","UX, UX, UX","False, False, False"
PT41H45M,"CPH, AMS, MAD","2, , 1",2,"{'CPH': 'PT1H25M', 'AMS': 'PT2H35M', 'MAD': 'PT8H15M'}",", 2, 4","2024-06-21T06:00:00, 2024-06-22T07:00:00, 2024-06-22T15:30:00","2024-06-21T07:25:00, 2024-06-22T09:35:00, 2024-06-22T17:45:00","UX, UX, UX","False, False, False"
PT25H50M,"CPH, WAW","2, ",1,"{'CPH': 'PT1H25M', 'WAW': 'PT9H20M'}",", 7","2024-06-21T19:55:00, 2024-06-22T12:25:00","2024-06-21T21:20:00, 2024-06-22T15:45:00","LO, LO","False, False"
PT17H50M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT8H55M'}","1, 8","2024-06-21T09:50:00, 2024-06-21T18:45:00","2024-06-21T12:50:00, 2024-06-21T21:40:00","IB, IB","False, False"
PT18H35M,"CPH, CDG, FCO","2, 2B, 1",2,"{'CPH': 'PT2H5M', 'CDG': 'PT2H5M', 'FCO': 'PT9H45M'}","2F, 1, 1","2024-06-21T06:20:00, 2024-06-21T11:40:00, 2024-06-21T15:10:00","2024-06-21T08:25:00, 2024-06-21T13:45:00, 2024-06-21T18:55:00","AZ, AZ, AZ","False, False, False"
PT14H59M,"CPH, YUL","2, ",1,"{'CPH': 'PT7H35M', 'YUL': 'PT1H49M'}",", 7","2024-06-21T12:20:00, 2024-06-21T19:30:00","2024-06-21T13:55:00, 2024-06-21T21:19:00","AC, AC","False, False"
PT14H59M,"CPH, YUL","2, ",1,"{'CPH': 'PT7H35M', 'YUL': 'PT1H49M'}",", 7","2024-06-21T12:20:00, 2024-06-21T19:30:00","2024-06-21T13:55:00, 2024-06-21T21:19:00","UA, UA","False, False"
PT11H55M,"CPH, MUC","2, 2",1,"{'CPH': 'PT1H35M', 'MUC': 'PT8H55M'}","2, 1","2024-06-21T08:55:00, 2024-06-21T11:55:00","2024-06-21T10:30:00, 2024-06-21T14:50:00","UA, UA","False, False"
PT12H10M,"CPH, BRU","2, ",1,"{'CPH': 'PT1H35M', 'BRU': 'PT8H25M'}",", 1","2024-06-21T06:50:00, 2024-06-21T10:35:00","2024-06-21T08:25:00, 2024-06-21T13:00:00","UA, UA","False, False"
PT15H58M,"CPH, YYZ","2, 1",1,"{'CPH': 'PT8H15M', 'YYZ': 'PT1H53M'}","1, 7","2024-06-21T12:25:00, 2024-06-21T20:30:00","2024-06-21T14:40:00, 2024-06-21T22:23:00","AC, AC","False, False"
PT15H58M,"CPH, YYZ","2, 1",1,"{'CPH': 'PT8H15M', 'YYZ': 'PT1H53M'}","1, 7","2024-06-21T12:25:00, 2024-06-21T20:30:00","2024-06-21T14:40:00, 2024-06-21T22:23:00","UA, UA","False, False"
PT11H15M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT8H55M'}","1, 1","2024-06-21T14:50:00, 2024-06-21T17:10:00","2024-06-21T16:20:00, 2024-06-21T20:05:00","UA, UA","False, False"
PT13H5M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT8H30M'}","1, 1","2024-06-21T06:20:00, 2024-06-21T10:55:00","2024-06-21T07:50:00, 2024-06-21T13:25:00","UA, UA","False, False"
PT16H25M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT8H55M'}","1, 1","2024-06-21T09:40:00, 2024-06-21T17:10:00","2024-06-21T11:10:00, 2024-06-21T20:05:00","UA, UA","False, False"
