Traveler ID,Fare Option,Traveler Type,Currency,Total Price,Base Price,Segment IDs,Cabins,Fare Bases,Branded Fares,Branded Fare Labels,Classes,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,BAGGAGE_amenityProvider,MEAL_description,MEAL_isChargeable,MEAL_amenityProvider,ENTERTAINMENT_description,ENTERTAINMENT_isChargeable,ENTERTAINMENT_amenityProvider,BRANDED_FARES_description,BRANDED_FARES_isChargeable,BRANDED_FARES_amenityProvider,PRE_RESERVED_SEAT_description,PRE_RESERVED_SEAT_isChargeable,PRE_RESERVED_SEAT_amenityProvider,TRAVEL_SERVICES_description,TRAVEL_SERVICES_isChargeable,TRAVEL_SERVICES_amenityProvider
1,STANDARD,ADULT,EUR,1108.46,904.00,"['177', '178']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BE', 'BE']","['BASIC ECONOMY', 'BASIC ECONOMY']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; SECOND BAG; CHECKED BAG FIRST; SECOND BAG,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,MILEAGE ACCRUAL; MILEAGE ACCRUAL,False; False,BrandedFare; BrandedFare,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,PRIORITY BOARDING; PRIORITY BOARDING,True; True,BrandedFare; BrandedFare
1,STANDARD,ADULT,EUR,1111.35,904.00,"['140', '141']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BE', 'BE']","['BASIC ECONOMY', 'BASIC ECONOMY']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; SECOND BAG; CHECKED BAG FIRST; SECOND BAG,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,MILEAGE ACCRUAL; MILEAGE ACCRUAL,False; False,BrandedFare; BrandedFare,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,PRIORITY BOARDING; PRIORITY BOARDING,True; True,BrandedFare; BrandedFare
1,STANDARD,ADULT,EUR,1112.23,904.00,"['31', '32']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BE', 'BE']","['BASIC ECONOMY', 'BASIC ECONOMY']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; SECOND BAG; CHECKED BAG FIRST; SECOND BAG,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,MILEAGE ACCRUAL; MILEAGE ACCRUAL,False; False,BrandedFare; BrandedFare,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,PRIORITY BOARDING; PRIORITY BOARDING,True; True,BrandedFare; BrandedFare
1,STANDARD,ADULT,EUR,1113.83,904.00,"['171', '172']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BASIC', 'BASIC']","['BASIC', 'BASIC']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; CHECKED BAG SECOND; CHECKED BAG FIRST; CHECKED BAG SECOND,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,COMPLIMENTARY MEAL; COMPLIMENTARY MEAL,False; False,BrandedFare; BrandedFare,,,,BASIC SEAT; BASIC SEAT,True; True,BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,1113.83,904.00,"['173', '174']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BE', 'BE']","['BASIC ECONOMY', 'BASIC ECONOMY']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; SECOND BAG; CHECKED BAG FIRST; SECOND BAG,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,MILEAGE ACCRUAL; MILEAGE ACCRUAL,False; False,BrandedFare; BrandedFare,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,PRIORITY BOARDING; PRIORITY BOARDING,True; True,BrandedFare; BrandedFare
1,STANDARD,ADULT,EUR,1114.61,904.00,"['45', '46']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BE', 'BE']","['BASIC ECONOMY', 'BASIC ECONOMY']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; SECOND BAG; CHECKED BAG FIRST; SECOND BAG,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,MILEAGE ACCRUAL; MILEAGE ACCRUAL,False; False,BrandedFare; BrandedFare,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,PRIORITY BOARDING; PRIORITY BOARDING,True; True,BrandedFare; BrandedFare
1,STANDARD,ADULT,EUR,1114.61,904.00,"['19', '20']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BE', 'BE']","['BASIC ECONOMY', 'BASIC ECONOMY']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; SECOND BAG; CHECKED BAG FIRST; SECOND BAG,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,MILEAGE ACCRUAL; MILEAGE ACCRUAL,False; False,BrandedFare; BrandedFare,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,PRIORITY BOARDING; PRIORITY BOARDING,True; True,BrandedFare; BrandedFare
1,STANDARD,ADULT,EUR,1114.61,904.00,"['11', '12']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BE', 'BE']","['BASIC ECONOMY', 'BASIC ECONOMY']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; SECOND BAG; CHECKED BAG FIRST; SECOND BAG,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,MILEAGE ACCRUAL; MILEAGE ACCRUAL,False; False,BrandedFare; BrandedFare,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,PRIORITY BOARDING; PRIORITY BOARDING,True; True,BrandedFare; BrandedFare
1,STANDARD,ADULT,EUR,1114.61,904.00,"['131', '132']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['BE', 'BE']","['BASIC ECONOMY', 'BASIC ECONOMY']","['M', 'M']","[0, 0]",CHECKED BAG FIRST; SECOND BAG; CHECKED BAG FIRST; SECOND BAG,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,MILEAGE ACCRUAL; MILEAGE ACCRUAL,False; False,BrandedFare; BrandedFare,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,PRIORITY BOARDING; PRIORITY BOARDING,True; True,BrandedFare; BrandedFare
1,STANDARD,ADULT,EUR,1128.81,904.00,"['39', '40']","['ECONOMY', 'ECONOMY']","['MMPMBOBQ', 'MMPMBOBQ']","['ECOLIGHT', 'ECOLIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['M', 'M']","[0, 0]",1ST BAG UPTO50LB23KG 62LI158CM; 1ST BAG UPTO50LB23KG 62LI158CM,True; True,BrandedFare; BrandedFare,CATERING ON EUROPE FLTS; CATERING ON INTERCONT FLTS; CATERING ON EUROPE FLTS; CATERING ON INTERCONT FLTS,True; False; True; False,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,STANDARD SEAT RESERVATION; MILEAGE ACCRUAL; UPGRADE ELIGIBILITY; PREFERRED SEAT RESERVATION; STANDARD SEAT RESERVATION; MILEAGE ACCRUAL; UPGRADE ELIGIBILITY; PREFERRED SEAT RESERVATION,True; False; True; True; True; False; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,
