id,lastTicketingDate,lastTicketingDateTime,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Airline,Base Price,Grand Total Price,Currency.1,Total Price.1,Base Price.1,Branded Fares,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,BRANDED_FARES_description,BRANDED_FARES_isChargeable,BRANDED_FARES_amenityProvider,PRE_RESERVED_SEAT_description,PRE_RESERVED_SEAT_isChargeable,PRE_RESERVED_SEAT_amenityProvider,TRAVEL_SERVICES_description,TRAVEL_SERVICES_isChargeable,TRAVEL_SERVICES_amenityProvider,Origin Airport,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Firt flight departure,Second flight departure,Third flight departure,Firt flight arrival,Second flight arrival,Third flight arrival,Origin airport,1st layover,2nd layover,Branded Fares Lables,Meal Option
254,2024-05-21,2024-05-21,9,IB,PT33H15M,1,IB,266.0,495.03,EUR,495.03,266.0,BASIC,BASIC,0,FIRST CHECKED BAG,True,,,,,,,,,,CPH, PT3H25M, MAD, PT8H15M,,,2024-06-19T11:25:00, 2024-06-20T12:25:00,,2024-06-19T14:50:00, 2024-06-20T14:40:00,,CPH, MAD,,BASIC,MEAL
255,2024-05-19,2024-05-19,9,FI,PT29H35M,1,FI,330.0,535.17,EUR,535.17,330.0,LIGHT,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,PREMIUM SEAT,True,BrandedFare,,,,,,,CPH, PT3H15M, KEF, PT6H20M,,,2024-06-19T22:35:00, 2024-06-20T19:50:00,,2024-06-19T23:50:00, 2024-06-20T22:10:00,,CPH, KEF,,LIGHT,ALCOHOLIC DRINK
256,2024-05-19,2024-05-19,9,FI,PT32H20M,1,FI,330.0,535.17,EUR,535.17,330.0,LIGHT,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,PREMIUM SEAT,True,BrandedFare,,,,,,,CPH, PT3H15M, KEF, PT6H10M,,,2024-06-19T16:50:00, 2024-06-20T17:00:00,,2024-06-19T18:05:00, 2024-06-20T19:10:00,,CPH, KEF,,LIGHT,ALCOHOLIC DRINK
257,2024-05-21,2024-05-21,4,LO,PT14H45M,1,LO,349.0,549.56,EUR,549.56,349.0,ECONOBAG,ECONOMY NO BAG,0,1 ST CHECKED BAG UP TO 23KG,True,,,,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,,,,CPH, PT1H25M, WAW, PT9H20M,,,2024-06-19T07:00:00, 2024-06-19T12:25:00,,2024-06-19T08:25:00, 2024-06-19T15:45:00,,CPH, WAW,,ECONOBAG,HOT DINNER
258,2024-05-21,2024-05-21,9,LO,PT25H50M,1,LO,349.0,549.56,EUR,549.56,349.0,ECONOBAG,ECONOMY NO BAG,0,1 ST CHECKED BAG UP TO 23KG,True,,,,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,,,,CPH, PT1H25M, WAW, PT9H20M,,,2024-06-19T19:55:00, 2024-06-20T12:25:00,,2024-06-19T21:20:00, 2024-06-20T15:45:00,,CPH, WAW,,ECONOBAG,HOT DINNER
259,2024-05-21,2024-05-21,1,LO,PT30H25M,1,LO,349.0,549.56,EUR,549.56,349.0,ECONOBAG,ECONOMY NO BAG,0,1 ST CHECKED BAG UP TO 23KG,True,,,,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,,,,CPH, PT1H25M, WAW, PT9H30M,,,2024-06-19T19:55:00, 2024-06-20T16:50:00,,2024-06-19T21:20:00, 2024-06-20T20:20:00,,CPH, WAW,,ECONOBAG,HOT DINNER
260,2024-06-19,2024-06-19,7,JU,PT27H5M,1,JU,465.0,555.74,EUR,555.74,465.0,None,None,2,,,,,,,,,,,,CPH, PT2H10M, BEG, PT10H,,,2024-06-19T20:20:00, 2024-06-20T13:25:00,,2024-06-19T22:30:00, 2024-06-20T17:25:00,,CPH, BEG,,None,
261,2024-05-21,2024-05-21,9,AY,PT13H5M,1,AY,341.0,555.92,EUR,555.92,341.0,ELIGHT,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,,,,,,,,,,CPH, PT2H5M, LGW, PT8H,,,2024-06-19T11:00:00, 2024-06-19T15:05:00,,2024-06-19T12:05:00, 2024-06-19T18:05:00,,CPH, LGW,,ELIGHT,MEAL AND BEVERAGE
262,2024-05-21,2024-05-21,9,AY,PT11H10M,1,AY,341.0,567.16,EUR,567.16,341.0,ELIGHT,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,,,,,,,,,,CPH, PT2H5M, LHR, PT7H50M,,,2024-06-19T11:00:00, 2024-06-19T13:20:00,,2024-06-19T12:05:00, 2024-06-19T16:10:00,,CPH, LHR,,ELIGHT,MEAL AND BEVERAGE
263,2024-05-21,2024-05-21,9,AY,PT14H15M,1,AY,341.0,567.16,EUR,567.16,341.0,ELIGHT,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,,,,,,,,,,CPH, PT2H5M, LHR, PT7H55M,,,2024-06-19T11:00:00, 2024-06-19T16:20:00,,2024-06-19T12:05:00, 2024-06-19T19:15:00,,CPH, LHR,,ELIGHT,MEAL AND BEVERAGE
