id,lastTicketingDate,lastTicketingDateTime,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Airline,Base Price,Grand Total Price,Currency.1,Total Price.1,Base Price.1,Branded Fares,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,BRANDED_FARES_description,BRANDED_FARES_isChargeable,BRANDED_FARES_amenityProvider,PRE_RESERVED_SEAT_description,PRE_RESERVED_SEAT_isChargeable,PRE_RESERVED_SEAT_amenityProvider,TRAVEL_SERVICES_description,TRAVEL_SERVICES_isChargeable,TRAVEL_SERVICES_amenityProvider,Origin Airport,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Firt flight departure,Second flight departure,Third flight departure,Firt flight arrival,Second flight arrival,Third flight arrival,Origin airport,1st layover,2nd layover,Branded Fares Lables,Meal Option
284,2024-05-25,2024-05-25,9,OS,PT19H,1,OS,904.0,1128.81,EUR,1128.81,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H40M, VIE, PT8H,,,2024-06-19T07:00:00, 2024-06-19T18:00:00,,2024-06-19T08:40:00, 2024-06-19T20:00:00,,CPH, VIE,,ECOLIGHT,CATERING ON EUROPE FLTS
285,2024-05-25,2024-05-25,9,LX,PT12H50M,1,LX,904.0,1128.85,EUR,1128.85,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,EXTRA LEGROOM SEAT RESERVATION,True,BrandedFare,,,,CPH, PT1H50M, ZRH, PT9H10M,,,2024-06-19T09:40:00, 2024-06-19T13:20:00,,2024-06-19T11:30:00, 2024-06-19T16:30:00,,CPH, ZRH,,ECOLIGHT,CATERING ON EUROPE AND CAI FLT
286,2024-05-25,2024-05-25,4,LH,PT12H,1,LH,904.0,1129.21,EUR,1129.21,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H35M, MUC, PT8H55M,,,2024-06-19T08:50:00, 2024-06-19T11:55:00,,2024-06-19T10:25:00, 2024-06-19T14:50:00,,CPH, MUC,,ECOLIGHT,CATERING ON EUROPE FLTS
287,2024-05-25,2024-05-25,4,LH,PT15H10M,1,LH,904.0,1129.21,EUR,1129.21,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H35M, MUC, PT8H,,,2024-06-19T12:50:00, 2024-06-19T20:00:00,,2024-06-19T14:25:00, 2024-06-19T22:00:00,,CPH, MUC,,ECOLIGHT,CATERING ON EUROPE FLTS
288,2024-05-25,2024-05-25,9,SN,PT12H10M,1,SN,904.0,1129.73,EUR,1129.73,904.0,ECOLIGHT,ECONOMY LIGHT,0,CHECKED BAG FIRST,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H35M, BRU, PT8H25M,,,2024-06-19T06:50:00, 2024-06-19T10:35:00,,2024-06-19T08:25:00, 2024-06-19T13:00:00,,CPH, BRU,,ECOLIGHT,CATERING ON EUROPE FLTS
289,2024-05-25,2024-05-25,4,LH,PT11H10M,1,LH,904.0,1132.11,EUR,1132.11,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H30M, FRA, PT8H,,,2024-06-19T14:50:00, 2024-06-19T18:00:00,,2024-06-19T16:20:00, 2024-06-19T20:00:00,,CPH, FRA,,ECOLIGHT,CATERING ON EUROPE FLTS
290,2024-05-25,2024-05-25,4,LH,PT11H15M,1,LH,904.0,1132.11,EUR,1132.11,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H30M, FRA, PT8H55M,,,2024-06-19T14:50:00, 2024-06-19T17:10:00,,2024-06-19T16:20:00, 2024-06-19T20:05:00,,CPH, FRA,,ECOLIGHT,CATERING ON EUROPE FLTS
291,2024-05-25,2024-05-25,4,LH,PT13H40M,1,LH,904.0,1132.11,EUR,1132.11,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H30M, FRA, PT7H35M,,,2024-06-19T14:50:00, 2024-06-19T20:55:00,,2024-06-19T16:20:00, 2024-06-19T22:30:00,,CPH, FRA,,ECOLIGHT,CATERING ON EUROPE FLTS
292,2024-05-25,2024-05-25,4,LH,PT14H20M,1,LH,904.0,1132.11,EUR,1132.11,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H30M, FRA, PT8H50M,,,2024-06-19T14:50:00, 2024-06-19T20:20:00,,2024-06-19T16:20:00, 2024-06-19T23:10:00,,CPH, FRA,,ECOLIGHT,CATERING ON EUROPE FLTS
293,2024-05-25,2024-05-25,9,LH,PT12H50M,1,LH,904.0,1132.11,EUR,1132.11,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H30M, FRA, PT8H30M,,,2024-06-19T06:35:00, 2024-06-19T10:55:00,,2024-06-19T08:05:00, 2024-06-19T13:25:00,,CPH, FRA,,ECOLIGHT,CATERING ON EUROPE FLTS
