numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Branded Fare Labels,Included Checked Bags Quantities,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
9,FI,3.387211139687415,1,ECONOMY LIGHT,0,3.25, KEF,6.333333333333333,No layover,0.0,Evening,Evening,Monday,Weekday,6.180368558600469
9,FI,3.4760986898352733,1,ECONOMY LIGHT,0,3.25, KEF,6.166666666666667,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.180368558600469
4,IB,3.4067375620377707,1,BASIC,0,3.0, BCN,8.916666666666666,No layover,0.0,Evening,Evening,Monday,Weekday,6.1968513768329325
9,IB,3.212186836717404,1,BASIC,0,3.1666666666666665, MAD,8.25,No layover,0.0,Evening,Afternoon,Monday,Weekday,6.204618366792824
9,IB,3.370165272414426,1,BASIC,0,3.1666666666666665, MAD,8.583333333333334,No layover,0.0,Evening,Evening,Monday,Weekday,6.204618366792824
1,LO,2.751535313041949,1,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.5,No layover,0.0,Morning,Evening,Monday,Weekday,6.309117958055747
9,LO,2.9618307218783095,1,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.5,No layover,0.0,Morning,Evening,Monday,Weekday,6.309117958055747
9,LO,3.2708355637989115,1,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.333333333333334,No layover,0.0,Evening,Afternoon,Monday,Weekday,6.4450211626834
1,AY,3.052427617230536,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Evening,Afternoon,Monday,Weekday,6.486404661643749
4,AY,3.188416617383492,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Evening,Afternoon,Monday,Weekday,6.486404661643749
4,IB,2.8903717578961645,1,BASIC,0,3.0, BCN,8.916666666666666,No layover,0.0,Morning,Evening,Monday,Weekday,6.495945083314132
4,LO,2.5964977151964628,1,ECONOMY STANDARD,1,1.3333333333333333, WAW,9.5,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.499125167530816
4,LO,3.364418130158859,1,ECONOMY STANDARD,1,1.3333333333333333, WAW,9.333333333333334,No layover,0.0,Afternoon,Afternoon,Monday,Weekday,6.499125167530816
9,TK,2.899588413001089,1,RESTRICTED,2,3.4166666666666665, IST,10.75,No layover,0.0,Morning,Evening,Monday,Weekday,6.628649656747857
9,AZ,2.922265121672118,2,ECONOMY FLEX,1,2.083333333333333, CDG,2.083333333333333, FCO,9.75,Morning,Evening,Monday,Weekday,6.96719331473075
9,AC,2.70805020110221,1,BASIC,0,7.583333333333333, YUL,1.8333333333333333,No layover,0.0,Afternoon,Evening,Monday,Weekday,7.010726943606016
9,UA,2.70805020110221,1,BASIC ECONOMY,0,7.583333333333333, YUL,1.8333333333333333,No layover,0.0,Afternoon,Evening,Monday,Weekday,7.010726943606016
9,UA,2.5520459526256287,1,BASIC ECONOMY,0,1.8333333333333333, ZRH,9.166666666666666,No layover,0.0,Morning,Afternoon,Monday,Weekday,7.013330771530775
9,UA,2.477937980471907,1,BASIC ECONOMY,0,1.5833333333333337, MUC,8.916666666666666,No layover,0.0,Morning,Afternoon,Monday,Weekday,7.013654649431639
9,UA,2.691243082785829,1,BASIC ECONOMY,0,1.5833333333333337, MUC,8.916666666666666,No layover,0.0,Morning,Afternoon,Monday,Weekday,7.013654649431639
