Duration,Departure IATACodes,Departure Terminals,Number of Stops,layover durations,Arrival Terminals,Departure Times,Arrival Times,Aircraft,Blacklist
PT16H10M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T19:10:00, 2024-06-22T09:45:00","2024-06-21T20:40:00, 2024-06-22T10:20:00","321, 320","False, False"
PT3H55M,"CPH, SVG","2, ",1,"{'CPH': 'PT1H10M', 'SVG': 'PT2H5M'}",", S","2024-06-21T17:40:00, 2024-06-21T19:30:00","2024-06-21T18:50:00, 2024-06-21T20:35:00","73H, 73H","False, False"
PT14H35M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H30M'}",", S","2024-06-21T19:05:00, 2024-06-22T07:10:00","2024-06-21T20:15:00, 2024-06-22T08:40:00","73H, 73H","False, False"
PT4H10M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T17:00:00, 2024-06-21T18:50:00","2024-06-21T18:10:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT10H20M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T10:50:00, 2024-06-21T18:50:00","2024-06-21T12:00:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT14H,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T07:10:00, 2024-06-21T18:50:00","2024-06-21T08:20:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT5H40M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T15:30:00, 2024-06-21T18:50:00","2024-06-21T16:40:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT11H50M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T09:20:00, 2024-06-21T18:50:00","2024-06-21T10:30:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT19H55M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H30M'}",", S","2024-06-21T15:30:00, 2024-06-22T08:55:00","2024-06-21T16:40:00, 2024-06-22T10:25:00","73H, 73H","False, False"
PT26H5M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H30M'}",", S","2024-06-21T09:20:00, 2024-06-22T08:55:00","2024-06-21T10:30:00, 2024-06-22T10:25:00","73H, 73H","False, False"
PT19H30M,"CPH, BGO","2, ",1,"{'CPH': 'PT1H20M', 'BGO': 'PT2H'}",", S","2024-06-21T13:40:00, 2024-06-22T07:10:00","2024-06-21T15:00:00, 2024-06-22T08:10:00","73H, 73H","False, False"
PT16H20M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H30M'}",", S","2024-06-21T19:05:00, 2024-06-22T08:55:00","2024-06-21T20:15:00, 2024-06-22T10:25:00","73H, 73H","False, False"
PT4H35M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T15:30:00, 2024-06-21T17:45:00","2024-06-21T16:40:00, 2024-06-21T19:05:00","73H, 73H","False, False"
PT4H35M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T10:50:00, 2024-06-21T13:05:00","2024-06-21T12:00:00, 2024-06-21T14:25:00","73H, 73H","False, False"
PT6H5M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T09:20:00, 2024-06-21T13:05:00","2024-06-21T10:30:00, 2024-06-21T14:25:00","73H, 73H","False, False"
PT4H45M,"CPH, FRA","3, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T13:15:00, 2024-06-21T16:25:00","2024-06-21T14:45:00, 2024-06-21T17:00:00","32N, 320","False, False"
PT7H40M,"CPH, BGO","2, ",1,"{'CPH': 'PT1H20M', 'BGO': 'PT2H20M'}",", S","2024-06-21T13:40:00, 2024-06-21T19:00:00","2024-06-21T15:00:00, 2024-06-21T20:20:00","73H, 73H","False, False"
PT4H45M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T06:35:00, 2024-06-21T09:45:00","2024-06-21T08:05:00, 2024-06-21T10:20:00","32N, 320","False, False"
PT17H5M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T21:30:00, 2024-06-22T12:10:00","2024-06-22T00:30:00, 2024-06-22T13:35:00","320, 320","False, False"
PT7H,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T09:50:00, 2024-06-21T14:25:00","2024-06-21T12:50:00, 2024-06-21T15:50:00","32A, 32A","False, False"
PT11H35M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H20M'}","1, S","2024-06-21T09:50:00, 2024-06-21T19:05:00","2024-06-21T12:50:00, 2024-06-21T20:25:00","32A, 321","False, False"
PT12H,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H30M'}","1, S","2024-06-21T21:30:00, 2024-06-22T07:00:00","2024-06-22T00:30:00, 2024-06-22T08:30:00","320, 32A","False, False"
PT12H10M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H20M'}","1, S","2024-06-21T09:50:00, 2024-06-21T19:40:00","2024-06-21T12:50:00, 2024-06-21T21:00:00","32A, 320","False, False"
PT12H25M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H30M'}","1, S","2024-06-21T21:30:00, 2024-06-22T07:25:00","2024-06-22T00:30:00, 2024-06-22T08:55:00","320, 32A","False, False"
PT14H20M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T09:50:00, 2024-06-21T21:45:00","2024-06-21T12:50:00, 2024-06-21T23:10:00","32A, 32A","False, False"
PT15H45M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T21:30:00, 2024-06-22T10:50:00","2024-06-22T00:30:00, 2024-06-22T12:15:00","320, 321","False, False"
PT17H5M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T21:30:00, 2024-06-22T12:10:00","2024-06-22T00:30:00, 2024-06-22T13:35:00","320, 32A","False, False"
PT12H,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H30M'}","1, S","2024-06-21T21:30:00, 2024-06-22T07:00:00","2024-06-22T00:30:00, 2024-06-22T08:30:00","320, 320","False, False"
PT12H25M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H30M'}","1, S","2024-06-21T21:30:00, 2024-06-22T07:25:00","2024-06-22T00:30:00, 2024-06-22T08:55:00","320, 320","False, False"
PT15H45M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T21:30:00, 2024-06-22T10:50:00","2024-06-22T00:30:00, 2024-06-22T12:15:00","320, 321","False, False"
PT17H45M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T21:30:00, 2024-06-22T12:50:00","2024-06-22T00:30:00, 2024-06-22T14:15:00","320, 32A","False, False"
PT20H25M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T21:30:00, 2024-06-22T15:30:00","2024-06-22T00:30:00, 2024-06-22T16:55:00","320, 32A","False, False"
PT17H45M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T21:30:00, 2024-06-22T12:50:00","2024-06-22T00:30:00, 2024-06-22T14:15:00","320, 320","False, False"
PT20H25M,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T21:30:00, 2024-06-22T15:30:00","2024-06-22T00:30:00, 2024-06-22T16:55:00","320, 320","False, False"
PT8H45M,"CPH, VIE, ZRH","2, 3, ",2,"{'CPH': 'PT1H40M', 'VIE': 'PT1H20M', 'ZRH': 'PT1H40M'}","3, , N","2024-06-21T09:50:00, 2024-06-21T14:30:00, 2024-06-21T16:55:00","2024-06-21T11:30:00, 2024-06-21T15:50:00, 2024-06-21T17:35:00","320, 221, 223","False, False, False"
PT8H45M,"CPH, VIE, ZRH","2, 3, ",2,"{'CPH': 'PT1H40M', 'VIE': 'PT1H20M', 'ZRH': 'PT1H40M'}","3, , N","2024-06-21T09:50:00, 2024-06-21T13:00:00, 2024-06-21T16:55:00","2024-06-21T11:30:00, 2024-06-21T14:20:00, 2024-06-21T17:35:00","320, 320, 223","False, False, False"
PT11H35M,"CPH, VIE, ZRH","2, 3, ",2,"{'CPH': 'PT1H40M', 'VIE': 'PT1H25M', 'ZRH': 'PT1H40M'}","3, , N","2024-06-21T07:00:00, 2024-06-21T09:35:00, 2024-06-21T16:55:00","2024-06-21T08:40:00, 2024-06-21T11:00:00, 2024-06-21T17:35:00","320, 223, 223","False, False, False"
PT11H35M,"CPH, VIE, ZRH","2, 3, ",2,"{'CPH': 'PT1H40M', 'VIE': 'PT1H20M', 'ZRH': 'PT1H40M'}","3, , N","2024-06-21T07:00:00, 2024-06-21T14:30:00, 2024-06-21T16:55:00","2024-06-21T08:40:00, 2024-06-21T15:50:00, 2024-06-21T17:35:00","320, 221, 223","False, False, False"
PT11H35M,"CPH, VIE, ZRH","2, 3, ",2,"{'CPH': 'PT1H40M', 'VIE': 'PT1H20M', 'ZRH': 'PT1H40M'}","3, , N","2024-06-21T07:00:00, 2024-06-21T10:55:00, 2024-06-21T16:55:00","2024-06-21T08:40:00, 2024-06-21T12:15:00, 2024-06-21T17:35:00","320, 320, 223","False, False, False"
PT11H35M,"CPH, VIE, ZRH","2, 3, ",2,"{'CPH': 'PT1H40M', 'VIE': 'PT1H20M', 'ZRH': 'PT1H40M'}","3, , N","2024-06-21T07:00:00, 2024-06-21T13:00:00, 2024-06-21T16:55:00","2024-06-21T08:40:00, 2024-06-21T14:20:00, 2024-06-21T17:35:00","320, 320, 223","False, False, False"
PT7H,"CPH, BCN","2, 1",1,"{'CPH': 'PT3H', 'BCN': 'PT2H25M'}","1, S","2024-06-21T09:50:00, 2024-06-21T14:25:00","2024-06-21T12:50:00, 2024-06-21T15:50:00","320, 320","False, False"
PT18H25M,"CPH, MAN","3, ",1,"{'CPH': 'PT1H55M', 'MAN': 'PT1H'}","1, ","2024-06-21T17:35:00, 2024-06-22T10:00:00","2024-06-21T18:30:00, 2024-06-22T11:00:00","32N, 319","False, False"
PT16H50M,"CPH, NCE","3, 1",1,"{'CPH': 'PT2H25M', 'NCE': 'PT2H'}","1, S","2024-06-21T17:40:00, 2024-06-22T08:30:00","2024-06-21T20:05:00, 2024-06-22T09:30:00","32N, 744","False, False"
PT22H20M,"CPH, DOH","2, ",1,"{'CPH': 'PT6H', 'DOH': 'PT7H10M'}",", N","2024-06-21T09:20:00, 2024-06-22T01:30:00","2024-06-21T16:20:00, 2024-06-22T06:40:00","789, 788","False, False"
PT4H45M,"CPH, FRA","3, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T13:15:00, 2024-06-21T16:25:00","2024-06-21T14:45:00, 2024-06-21T17:00:00","32N, 320","False, False"
PT5H,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T06:20:00, 2024-06-21T09:45:00","2024-06-21T07:50:00, 2024-06-21T10:20:00","321, 320","False, False"
PT8H20M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T09:40:00, 2024-06-21T16:25:00","2024-06-21T11:10:00, 2024-06-21T17:00:00","321, 320","False, False"
PT11H40M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T06:20:00, 2024-06-21T16:25:00","2024-06-21T07:50:00, 2024-06-21T17:00:00","321, 320","False, False"
PT16H10M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T19:10:00, 2024-06-22T09:45:00","2024-06-21T20:40:00, 2024-06-22T10:20:00","32Q, 320","False, False"
PT15H35M,"CPH, DOH","2, ",1,"{'CPH': 'PT6H15M', 'DOH': 'PT7H10M'}",", N","2024-06-21T16:05:00, 2024-06-22T01:30:00","2024-06-21T23:20:00, 2024-06-22T06:40:00","333, 788","False, False"
PT16H45M,"CPH, DXB","2, 3",1,"{'CPH': 'PT6H10M', 'DXB': 'PT7H35M'}","3, N","2024-06-21T15:35:00, 2024-06-22T02:45:00","2024-06-21T23:45:00, 2024-06-22T07:20:00","77W, 77W","False, False"
