numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Grand Total Price,Branded Fare Labels,Included Checked Bags Quantities,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Flight depature date,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
1,AY,11.333333333333334,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167851864413745
1,AY,12.5,1,477.16,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,6.167851864413745
1,AY,14.0,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167851864413745
1,AY,16.916666666666668,1,477.16,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.167851864413745
9,AY,22.83333333333333,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,2024-06-17,Evening,Morning,Monday,Weekday,6.167851864413745
9,FI,11.166666666666666,1,481.83,ECONOMY LIGHT,0,3.333333333333333, KEF,6.166666666666667,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.1775913547429155
9,FI,11.333333333333334,1,481.83,ECONOMY LIGHT,0,3.25, KEF,6.333333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.1775913547429155
9,FI,14.166666666666666,1,481.83,ECONOMY LIGHT,0,3.333333333333333, KEF,6.333333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.1775913547429155
9,FI,29.58333333333333,1,483.17,ECONOMY LIGHT,0,3.25, KEF,6.333333333333333,No layover,0.0,2024-06-17,Evening,Evening,Monday,Weekday,6.180368558600469
9,FI,32.333333333333336,1,483.17,ECONOMY LIGHT,0,3.25, KEF,6.166666666666667,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.180368558600469
4,IB,30.166666666666668,1,491.2,BASIC,0,3.0, BCN,8.916666666666666,No layover,0.0,2024-06-17,Evening,Evening,Monday,Weekday,6.1968513768329325
9,IB,24.83333333333333,1,495.03,BASIC,0,3.1666666666666665, MAD,8.25,No layover,0.0,2024-06-17,Evening,Afternoon,Monday,Weekday,6.204618366792824
9,IB,29.08333333333333,1,495.03,BASIC,0,3.1666666666666665, MAD,8.583333333333334,No layover,0.0,2024-06-17,Evening,Evening,Monday,Weekday,6.204618366792824
1,LO,15.666666666666666,1,549.56,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.5,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.309117958055747
9,LO,19.33333333333333,1,549.56,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.5,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.309117958055747
9,LO,26.33333333333333,1,629.56,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.333333333333334,No layover,0.0,2024-06-17,Evening,Afternoon,Monday,Weekday,6.4450211626834
1,AY,21.166666666666668,1,656.16,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,2024-06-17,Evening,Afternoon,Monday,Weekday,6.486404661643749
4,AY,24.25,1,656.16,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,2024-06-17,Evening,Afternoon,Monday,Weekday,6.486404661643749
4,IB,18.0,1,662.45,BASIC,0,3.0, BCN,8.916666666666666,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.495945083314132
4,LO,13.416666666666666,1,664.56,ECONOMY STANDARD,1,1.3333333333333333, WAW,9.5,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.499125167530816
4,LO,28.916666666666668,1,664.56,ECONOMY STANDARD,1,1.3333333333333333, WAW,9.333333333333334,No layover,0.0,2024-06-17,Afternoon,Afternoon,Monday,Weekday,6.499125167530816
9,TK,18.166666666666668,1,756.46,RESTRICTED,2,3.4166666666666665, IST,10.75,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.628649656747857
9,AZ,18.58333333333333,2,1061.24,ECONOMY FLEX,1,2.083333333333333, CDG,2.083333333333333, FCO,9.75,2024-06-17,Morning,Evening,Monday,Weekday,6.96719331473075
9,AC,15.0,1,1108.46,BASIC,0,7.583333333333333, YUL,1.8333333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.010726943606016
9,UA,15.0,1,1108.46,BASIC ECONOMY,0,7.583333333333333, YUL,1.8333333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.010726943606016
9,UA,12.833333333333334,1,1111.35,BASIC ECONOMY,0,1.8333333333333333, ZRH,9.166666666666666,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.013330771530775
9,UA,11.916666666666666,1,1111.71,BASIC ECONOMY,0,1.5833333333333337, MUC,8.916666666666666,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.013654649431639
9,UA,14.75,1,1111.71,BASIC ECONOMY,0,1.5833333333333337, MUC,8.916666666666666,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.013654649431639
9,UA,12.166666666666666,1,1112.23,BASIC ECONOMY,0,1.5833333333333337, BRU,8.416666666666666,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.014122287955589
9,AC,15.883333333333333,1,1113.83,BASIC,0,8.25, YYZ,1.8,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.0155598056105735
9,UA,15.883333333333333,1,1113.83,BASIC ECONOMY,0,8.25, YYZ,1.8,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.0155598056105735
9,UA,11.25,1,1114.61,BASIC ECONOMY,0,1.5, FRA,8.916666666666666,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.016259846923648
9,UA,13.833333333333334,1,1114.61,BASIC ECONOMY,0,1.5, FRA,8.916666666666666,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.016259846923648
9,UA,16.416666666666668,1,1114.61,BASIC ECONOMY,0,1.5, FRA,8.916666666666666,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.016259846923648
9,OS,16.166666666666668,1,1128.81,ECONOMY LIGHT,0,1.6666666666666663, VIE,8.0,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.028919259464637
9,OS,16.25,1,1128.81,ECONOMY LIGHT,0,1.6666666666666663, VIE,9.166666666666666,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.028919259464637
9,OS,19.0,1,1128.81,ECONOMY LIGHT,0,1.6666666666666663, VIE,8.0,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.028919259464637
9,OS,19.08333333333333,1,1128.81,ECONOMY LIGHT,0,1.6666666666666663, VIE,9.166666666666666,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.028919259464637
9,LX,12.833333333333334,1,1128.85,ECONOMY LIGHT,0,1.8333333333333333, ZRH,9.166666666666666,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.028954694383982
9,LH,14.666666666666666,1,1129.21,ECONOMY LIGHT,0,1.5833333333333337, MUC,8.916666666666666,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.029273552167256
4,LH,11.166666666666666,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,8.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
4,LH,11.25,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,8.916666666666666,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
4,LH,13.666666666666666,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,7.583333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
4,LH,14.333333333333334,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,8.833333333333334,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
9,LH,12.833333333333334,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,8.5,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.031838427187
9,LH,14.0,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,8.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
9,LH,14.0,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,10.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
9,LH,14.083333333333334,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,8.916666666666666,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
9,LH,16.5,1,1132.11,ECONOMY LIGHT,0,1.5, FRA,7.583333333333333,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
9,VS,8.833333333333334,0,1205.46,ECONOMY LIGHT,0,8.833333333333334,No layover,0.0,No layover,0.0,2024-06-17,Afternoon,Afternoon,Monday,Weekday,7.094616515818124
4,LX,14.583333333333334,1,1212.85,ECONOMY SAVER,1,1.75, ZRH,9.166666666666666,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.10072824095123
4,LH,11.916666666666666,1,1213.21,ECONOMY SAVER,1,1.5833333333333337, MUC,8.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.101025018444484
